det_fecha_hora,epi,mag,int_max,emis_fecha_hora,href,det_fecha_hora_local,lat_0,lon_0,prof_epi,id,prof_epi_nro,lat,lon
2023-06-28 14:27:00,Sur de Prefectura de Kioto,2.2,1,2023-06-28 14:31:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230629023106&lang=es,2023-06-29 02:27:00,35.0N,135.6E,Poco profundo,20230629023106,1.0,35.0,135.6
2023-06-28 05:22:00,Norte de región Soya,3.0,2,2023-06-28 05:25:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230628172546&lang=es,2023-06-28 17:22:00,44.9N,142.1E,10km,20230628172546,10.0,44.9,142.1
2023-06-28 03:02:00,Norte de Prefectura de Ibaraki,3.1,1,2023-06-28 03:04:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230628150453&lang=es,2023-06-28 15:02:00,36.4N,140.6E,60km,20230628150453,60.0,36.4,140.6
2023-06-28 02:25:00,Este de región Hidaka,3.4,2,2023-06-28 02:28:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230628142811&lang=es,2023-06-28 14:25:00,42.3N,142.8E,30km,20230628142811,30.0,42.3,142.8
2023-06-28 01:27:00,Alta mar este de Prefectura de Chiba,4.3,1,2023-06-28 01:30:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230628133032&lang=es,2023-06-28 13:27:00,35.7N,141.4E,10km,20230628133032,10.0,35.7,141.4
2023-06-28 00:08:00,Alta mar este de Prefectura de Chiba,4.8,2,2023-06-28 00:11:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230628121129&lang=es,2023-06-28 12:08:00,35.7N,141.5E,10km,20230628121129,10.0,35.7,141.5
2023-06-27 20:39:00,Norte de Mar de Japón,6.2,3,2023-06-27 20:45:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230628084532&lang=es,2023-06-28 08:39:00,42.1N,134.4E,480km,20230628084532,480.0,42.1,134.4
2023-06-27 12:55:00,Alta mar de Península de Noto,3.3,2,2023-06-27 12:58:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230628005802&lang=es,2023-06-28 00:55:00,37.5N,137.4E,10km,20230628005802,10.0,37.5,137.4
2023-06-26 15:24:00,"Región Hida, Prefectura de Gifu",2.3,1,2023-06-26 15:27:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230627032720&lang=es,2023-06-27 03:24:00,36.2N,137.1E,10km,20230627032720,10.0,36.2,137.1
2023-06-25 13:49:00,Alta mar de Prefectura de Iwate,3.4,1,2023-06-25 13:52:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230626015212&lang=es,2023-06-26 01:49:00,39.1N,142.1E,50km,20230626015212,50.0,39.1,142.1
2023-06-25 11:52:00,Norte de Prefectura de Nagano,2.9,2,2023-06-25 11:55:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230625235516&lang=es,2023-06-25 23:52:00,36.5N,137.8E,10km,20230625235516,10.0,36.5,137.8
2023-06-25 06:18:00,Alta mar de Prefectura de Fukushima,3.8,1,2023-06-25 06:20:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230625182020&lang=es,2023-06-25 18:18:00,37.5N,141.4E,50km,20230625182020,50.0,37.5,141.4
2023-06-25 05:46:00,Alta mar de Prefectura de Iwate,3.7,1,2023-06-25 05:48:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230625174859&lang=es,2023-06-25 17:46:00,40.2N,142.0E,60km,20230625174859,60.0,40.2,142.0
2023-06-24 21:07:00,"Región Hida, Prefectura de Gifu",3.0,2,2023-06-24 21:10:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230625091018&lang=es,2023-06-25 09:07:00,36.0N,137.5E,10km,20230625091018,10.0,36.0,137.5
2023-06-24 10:50:00,Norte de Prefectura de Nagano,2.5,1,2023-06-24 10:52:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230624225244&lang=es,2023-06-24 22:50:00,36.5N,137.8E,10km,20230624225244,10.0,36.5,137.8
2023-06-24 09:24:00,"Hamadori, Prefectura de Fukushima",3.5,1,2023-06-24 09:27:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230624212731&lang=es,2023-06-24 21:24:00,37.1N,140.9E,100km,20230624212731,100.0,37.1,140.9
2023-06-24 08:39:00,Alta mar de Prefectura de Miyagi,3.8,1,2023-06-24 08:42:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230624204221&lang=es,2023-06-24 20:39:00,38.5N,142.1E,50km,20230624204221,50.0,38.5,142.1
2023-06-23 21:58:00,Alta mar de Prefectura de Fukushima,4.9,3,2023-06-23 22:03:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230624100326&lang=es,2023-06-24 09:58:00,37.3N,141.8E,40km,20230624100326,40.0,37.3,141.8
2023-06-23 16:04:00,Oeste de Prefectura de Shizuoka,2.9,1,2023-06-23 16:07:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230624040735&lang=es,2023-06-24 04:04:00,35.0N,137.8E,10km,20230624040735,10.0,35.0,137.8
2023-06-23 14:39:00,Alta mar este de Soya,5.8,2,2023-06-23 14:45:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230624024531&lang=es,2023-06-24 02:39:00,45.8N,143.2E,330km,20230624024531,330.0,45.8,143.2
2023-06-23 12:43:00,Mares cercanos de Isla Ioto,4.9,1,2023-06-23 12:49:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230624004943&lang=es,2023-06-24 00:43:00,25.3N,141.7E,120km,20230624004943,120.0,25.3,141.7
2023-06-23 08:07:00,Norte de Prefectura de Nagano,1.8,1,2023-06-23 08:10:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230623201016&lang=es,2023-06-23 20:07:00,36.5N,137.9E,10km,20230623201016,10.0,36.5,137.9
2023-06-22 23:57:00,Norte de Prefectura de Wakayama,2.6,1,2023-06-23 00:00:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230623120051&lang=es,2023-06-23 11:57:00,34.0N,135.3E,Poco profundo,20230623120051,1.0,34.0,135.3
2023-06-22 19:06:00,Norte de Prefectura de Wakayama,2.3,1,2023-06-22 19:09:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230623070941&lang=es,2023-06-23 07:06:00,34.1N,135.2E,10km,20230623070941,10.0,34.1,135.2
2023-06-22 09:47:00,Mares cercanos de Islas Tokara,3.1,2,2023-06-22 09:49:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230622214958&lang=es,2023-06-22 21:47:00,29.9N,130.0E,10km,20230622214958,10.0,29.9,130.0
2023-06-22 07:31:00,Sur de región Sorachi,4.5,2,2023-06-22 07:33:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230622193358&lang=es,2023-06-22 19:31:00,43.1N,141.9E,160km,20230622193358,160.0,43.1,141.9
2023-06-22 06:31:00,Alta mar de Prefectura de Ibaraki,3.7,2,2023-06-22 06:35:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230622183542&lang=es,2023-06-22 18:31:00,36.7N,140.9E,40km,20230622183542,40.0,36.7,140.9
2023-06-22 04:39:00,Alta mar de Uraga,4.1,3,2023-06-22 04:43:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230622164356&lang=es,2023-06-22 16:39:00,41.6N,142.1E,50km,20230622164356,50.0,41.6,142.1
2023-06-21 22:24:00,Mares cercanos de Isla principal de Okinawa,5.2,3,2023-06-21 22:28:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230622102809&lang=es,2023-06-22 10:24:00,26.4N,127.9E,40km,20230622102809,40.0,26.4,127.9
2023-06-21 13:07:00,Mares cercanos de Islas Tokara,3.0,1,2023-06-21 13:10:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230622011048&lang=es,2023-06-22 01:07:00,29.9N,130.0E,10km,20230622011048,10.0,29.9,130.0
2023-06-21 05:46:00,Bahía de Tokio,3.4,1,2023-06-21 05:48:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230621174858&lang=es,2023-06-21 17:46:00,35.6N,139.9E,70km,20230621174858,70.0,35.6,139.9
2023-06-21 03:55:00,"Región Noto, Prefectura de Ishikawa",3.0,1,2023-06-21 03:58:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230621155832&lang=es,2023-06-21 15:55:00,37.5N,137.2E,10km,20230621155832,10.0,37.5,137.2
2023-06-20 21:21:00,Oeste de Prefectura de Aichi,3.4,2,2023-06-20 21:23:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230621092338&lang=es,2023-06-21 09:21:00,35.2N,137.3E,40km,20230621092338,40.0,35.2,137.3
2023-06-20 18:22:00,Alta mar de Prefectura de Iwate,3.6,1,2023-06-20 18:24:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230621062458&lang=es,2023-06-21 06:22:00,39.1N,142.2E,40km,20230621062458,40.0,39.1,142.2
2023-06-20 18:17:00,Oeste de Prefectura de Aichi,3.2,1,2023-06-20 18:20:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230621062032&lang=es,2023-06-21 06:17:00,35.1N,137.1E,40km,20230621062032,40.0,35.1,137.1
2023-06-20 13:10:00,Interior sur de Prefectura de Iwate,3.3,1,2023-06-20 13:12:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230621011244&lang=es,2023-06-21 01:10:00,39.1N,140.9E,10km,20230621011244,10.0,39.1,140.9
2023-06-20 12:10:00,"Aizu, Prefectura de Fukushima",2.4,1,2023-06-20 12:14:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230621001417&lang=es,2023-06-21 00:10:00,37.1N,139.4E,Poco profundo,20230621001417,1.0,37.1,139.4
2023-06-20 08:10:00,Norte de Prefectura de Nagano,3.9,3,2023-06-20 08:14:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230620201404&lang=es,2023-06-20 20:10:00,36.5N,137.8E,10km,20230620201404,10.0,36.5,137.8
2023-06-20 06:25:00,Alta mar de Prefectura de Miyagi,3.6,1,2023-06-20 06:27:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230620182750&lang=es,2023-06-20 18:25:00,38.5N,141.7E,50km,20230620182750,50.0,38.5,141.7
2023-06-19 22:53:00,Mares cercanos de Islas Tokara,3.0,2,2023-06-19 22:56:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230620105601&lang=es,2023-06-20 10:53:00,29.9N,130.0E,10km,20230620105601,10.0,29.9,130.0
2023-06-19 20:47:00,Alta mar este de Península de Osumi,3.9,1,2023-06-19 20:50:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230620085012&lang=es,2023-06-20 08:47:00,31.3N,131.6E,30km,20230620085012,30.0,31.3,131.6
2023-06-19 20:44:00,Sur de Prefectura de Saitama,3.8,2,2023-06-19 20:48:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230620084808&lang=es,2023-06-20 08:44:00,35.9N,139.6E,60km,20230620084808,60.0,35.9,139.6
2023-06-19 01:50:00,Sur de región Tokachi,5.2,3,2023-06-19 01:55:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619135501&lang=es,2023-06-19 13:50:00,42.5N,143.0E,60km,20230619135501,60.0,42.5,143.0
2023-06-18 22:39:00,Mares cercanos de Islas Tokara,3.0,2,2023-06-18 22:42:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619104216&lang=es,2023-06-19 10:39:00,29.9N,130.1E,10km,20230619104216,10.0,29.9,130.1
2023-06-18 22:32:00,Mares cercanos de Isla de Izu-Oshima,2.9,2,2023-06-18 22:35:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619103528&lang=es,2023-06-19 10:32:00,34.7N,139.3E,10km,20230619103528,10.0,34.7,139.3
2023-06-18 22:31:00,Mares cercanos de Isla de Izu-Oshima,2.9,1,2023-06-18 22:34:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619103400&lang=es,2023-06-19 10:31:00,34.7N,139.3E,10km,20230619103400,10.0,34.7,139.3
2023-06-18 22:26:00,Mares cercanos de Isla de Izu-Oshima,2.3,1,2023-06-18 22:29:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619102909&lang=es,2023-06-19 10:26:00,34.7N,139.3E,10km,20230619102909,10.0,34.7,139.3
2023-06-18 22:19:00,Mares cercanos de Isla de Izu-Oshima,2.2,1,2023-06-18 22:23:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619102310&lang=es,2023-06-19 10:19:00,34.8N,139.3E,10km,20230619102310,10.0,34.8,139.3
2023-06-18 21:44:00,Mares cercanos de Isla de Izu-Oshima,2.6,1,2023-06-18 21:47:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619094741&lang=es,2023-06-19 09:44:00,34.8N,139.3E,10km,20230619094741,10.0,34.8,139.3
2023-06-18 17:37:00,Alta mar este de Península de Osumi,4.2,2,2023-06-18 17:41:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619054131&lang=es,2023-06-19 05:37:00,31.3N,131.6E,30km,20230619054131,30.0,31.3,131.6
2023-06-18 16:59:00,"Aizu, Prefectura de Fukushima",2.5,1,2023-06-18 17:02:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619050230&lang=es,2023-06-19 04:59:00,37.1N,139.4E,10km,20230619050230,10.0,37.1,139.4
2023-06-18 13:58:00,Alta mar este de Península de Osumi,4.8,3,2023-06-18 14:03:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619020329&lang=es,2023-06-19 01:58:00,31.3N,131.6E,30km,20230619020329,30.0,31.3,131.6
2023-06-18 12:53:00,Mares cercanos de Isla de Izu-Oshima,2.7,1,2023-06-18 12:57:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230619005711&lang=es,2023-06-19 00:53:00,34.8N,139.3E,10km,20230619005711,10.0,34.8,139.3
